ID,FriendlyStacks,EnemyStacks,Friendly1Elo,Friendly2Elo,Friendly3Elo,Friendly4Elo,Friendly5Elo,Enemy1Elo,Enemy2Elo,Enemy3Elo,Enemy4Elo,Enemy5Elo,InfernoDiff,MirageDiff,TrainDiff,DustIIDiff,NukeDiff,AncientDiff,OverpassDiff,AnubisDiff
833.0,11111.0,221.0,20005.0,18375.0,18403.0,18312.0,18337.0,19639.0,19013.0,19016.0,16540.0,19592.0,-2.0,-2.0,-1.0,10.0,-8.0,5.0,-2.0,
834.0,11111.0,11111.0,19994.0,19659.0,18683.0,18668.0,,20000.0,,19330.0,17849.0,18465.0,4.0,-4.0,-2.0,-4.0,2.0,1.0,3.0,
835.0,11111.0,221.0,19647.0,19646.0,19880.0,19018.0,19062.0,20161.0,19165.0,19364.0,21932.0,15527.0,-1.0,-4.0,0.0,5.0,3.0,1.0,-4.0,
836.0,2111.0,221.0,18543.0,19237.0,18736.0,18728.0,18649.0,19131.0,14893.0,21843.0,19353.0,17759.0,4.0,-6.0,-5.0,-4.0,3.0,5.0,3.0,
837.0,2111.0,5.0,20483.0,19686.0,18988.0,19094.0,18822.0,16664.0,18320.0,17872.0,17822.0,20100.0,-1.0,8.0,-3.0,-4.0,4.0,-1.0,-3.0,
838.0,221.0,2111.0,21234.0,17821.0,17880.0,20371.0,18587.0,22470.0,15451.0,19425.0,18914.0,18638.0,-3.0,0.0,3.0,-7.0,1.0,4.0,2.0,
839.0,311.0,32.0,19299.0,16756.0,18156.0,18255.0,18221.0,20599.0,,15798.0,18923.0,17387.0,5.0,8.0,-2.0,8.0,-3.0,-7.0,-8.0,
840.0,311.0,32.0,20752.0,15552.0,22977.0,15149.0,18588.0,20000.0,14616.0,21594.0,18207.0,18810.0,3.0,7.0,-2.0,-10.0,2.0,-3.0,3.0,
841.0,311.0,311.0,20105.0,20983.0,,18947.0,16946.0,19894.0,21109.0,,18662.0,18475.0,2.0,5.0,-1.0,-1.0,-4.0,2.0,2.0,
842.0,5.0,11111.0,3048.0,7363.0,3853.0,5556.0,8504.0,7145.0,,4999.0,5324.0,5254.0,4.0,4.0,-1.0,3.0,3.0,-8.0,-2.0,
843.0,5.0,2111.0,7188.0,3750.0,8392.0,4801.0,2938.0,5404.0,5320.0,4450.0,5031.0,3916.0,0.0,5.0,0.0,1.0,-1.0,-2.0,-3.0,
844.0,11111.0,5.0,19597.0,19159.0,19000.0,18988.0,18315.0,,14130.0,20190.0,15334.0,,3.0,-2.0,0.0,9.0,-8.0,4.0,0.0,
845.0,11111.0,5.0,18606.0,17399.0,17238.0,17221.0,16136.0,16991.0,15165.0,15186.0,14348.0,21287.0,-8.0,-14.0,4.0,7.0,4.0,3.0,4.0,
846.0,2111.0,2111.0,18185.0,17604.0,17702.0,16917.0,,18075.0,17209.0,17555.0,15969.0,17185.0,-2.0,-8.0,0.0,-13.0,3.0,4.0,9.0,
848.0,311.0,41.0,17506.0,16971.0,19330.0,12698.0,16483.0,17596.0,20081.0,16010.0,12011.0,13808.0,-4.0,4.0,4.0,-11.0,0.0,2.0,5.0,
850.0,221.0,221.0,17423.0,18483.0,15141.0,19442.0,12517.0,15109.0,19041.0,17088.0,17027.0,15865.0,-6.0,2.0,-2.0,-1.0,-2.0,-1.0,10.0,
851.0,11111.0,11111.0,17834.0,17667.0,17230.0,17341.0,17052.0,17238.0,17575.0,17398.0,17213.0,,5.0,0.0,-4.0,0.0,-4.0,3.0,2.0,
853.0,311.0,311.0,19815.0,15120.0,14378.0,17076.0,16956.0,17829.0,15395.0,15854.0,18498.0,16757.0,-14.0,14.0,3.0,3.0,-8.0,4.0,-2.0,
854.0,2111.0,311.0,17431.0,16926.0,16891.0,19570.0,,17335.0,20000.0,18526.0,12585.0,15304.0,3.0,2.0,0.0,-7.0,-2.0,7.0,-4.0,
855.0,311.0,41.0,2799.0,2041.0,8273.0,4032.0,3373.0,,3343.0,,6509.0,1160.0,6.0,2.0,3.0,4.0,3.0,-2.0,-1.0,
856.0,311.0,2111.0,5044.0,3007.0,2190.0,8625.0,4272.0,4573.0,4477.0,4310.0,4043.0,4361.0,6.0,2.0,1.0,-3.0,0.0,-2.0,-4.0,
857.0,2111.0,311.0,18326.0,19978.0,,18747.0,17791.0,21580.0,18734.0,,18708.0,18287.0,-3.0,14.0,0.0,-13.0,0.0,-1.0,0.0,
859.0,2111.0,221.0,17854.0,17519.0,16856.0,17796.0,17366.0,18164.0,19193.0,15195.0,16585.0,17139.0,3.0,2.0,4.0,-6.0,-3.0,3.0,-3.0,
860.0,11111.0,32.0,19895.0,18258.0,18256.0,17494.0,17230.0,21647.0,15170.0,16380.0,21568.0,13954.0,-12.0,-2.0,3.0,6.0,0.0,4.0,1.0,
861.0,41.0,5.0,17062.0,18421.0,,18253.0,18286.0,21265.0,16784.0,13872.0,13365.0,15789.0,4.0,-2.0,1.0,-6.0,-10.0,5.0,-2.0,
862.0,311.0,311.0,18997.0,20534.0,,17356.0,17238.0,17882.0,17772.0,18153.0,15984.0,17725.0,-8.0,10.0,3.0,-7.0,-5.0,1.0,-2.0,
863.0,311.0,221.0,18026.0,20462.0,13275.0,17705.0,17511.0,18248.0,17669.0,17520.0,17230.0,17335.0,5.0,3.0,0.0,-13.0,0.0,6.0,-1.0,
864.0,32.0,311.0,16474.0,15963.0,13632.0,17477.0,18064.0,17508.0,16898.0,12021.0,14101.0,19541.0,0.0,0.0,-1.0,-8.0,7.0,4.0,-2.0,
865.0,311.0,221.0,13267.0,17098.0,17725.0,14999.0,14813.0,19395.0,10415.0,16483.0,14477.0,,7.0,7.0,-4.0,3.0,-1.0,-1.0,-2.0,
866.0,2111.0,221.0,18164.0,18082.0,19653.0,,17735.0,18315.0,21268.0,13810.0,14328.0,19893.0,5.0,5.0,0.0,-3.0,-3.0,-3.0,-1.0,
867.0,2111.0,5.0,16887.0,20188.0,18478.0,18316.0,17717.0,12205.0,11274.0,,15942.0,22509.0,1.0,6.0,4.0,4.0,-5.0,-12.0,2.0,
868.0,5.0,2111.0,25254.0,24694.0,20798.0,17819.0,23525.0,22813.0,,22349.0,20112.0,23701.0,-3.0,1.0,0.0,8.0,1.0,3.0,-3.0,
869.0,5.0,41.0,25595.0,24999.0,23838.0,18126.0,21151.0,25102.0,24999.0,20875.0,22325.0,22424.0,-11.0,11.0,0.0,-3.0,6.0,6.0,-9.0,
870.0,311.0,221.0,18146.0,19999.0,18683.0,14107.0,17837.0,18175.0,17368.0,18116.0,17940.0,17551.0,1.0,-2.0,4.0,-2.0,3.0,5.0,-9.0,
871.0,41.0,41.0,21649.0,21017.0,23606.0,18196.0,21558.0,21628.0,19618.0,23036.0,,20001.0,1.0,-2.0,4.0,-1.0,2.0,0.0,-4.0,
872.0,41.0,221.0,22779.0,21998.0,21340.0,24100.0,18542.0,23289.0,24777.0,25842.0,20000.0,22300.0,-6.0,4.0,2.0,-11.0,1.0,4.0,6.0,
873.0,5.0,2111.0,21696.0,18893.0,22372.0,17122.0,24628.0,22122.0,23365.0,,21733.0,21457.0,2.0,7.0,4.0,-6.0,-2.0,5.0,-3.0,
874.0,5.0,41.0,20527.0,,22580.0,14769.0,18586.0,18695.0,18330.0,16498.0,19044.0,17640.0,2.0,-4.0,0.0,-6.0,-4.0,2.0,0.0,
875.0,32.0,5.0,14338.0,18252.0,20216.0,14232.0,18846.0,22025.0,10625.0,22730.0,,15000.0,8.0,-4.0,1.0,-2.0,-1.0,2.0,6.0,
876.0,41.0,11111.0,18061.0,14627.0,18522.0,20482.0,17114.0,18426.0,18363.0,18112.0,18067.0,18049.0,6.0,-5.0,3.0,-6.0,0.0,5.0,-3.0,
877.0,2111.0,311.0,18559.0,20000.0,15756.0,18154.0,17705.0,18245.0,18202.0,15421.0,13939.0,20900.0,-6.0,5.0,-8.0,-1.0,0.0,3.0,7.0,
